,isocntry,control2015
0,AT,84.0
1,BE,82.0
2,BG,68.0
3,CY,70.0
4,CZ,79.0
5,DE,86.0
6,DK,83.0
7,EE,76.0
8,EL,68.0
9,ES,86.0
10,FI,81.0
11,FR,83.0
12,HR,73.0
13,HU,71.0
14,IE,78.0
15,IT,76.0
16,LT,75.0
17,LU,74.0
18,LV,84.0
19,MT,73.0
20,NL,89.0
21,PL,72.0
22,PT,72.0
23,RO,82.0
24,SE,86.0
25,SI,72.0
26,SK,75.0
