isocntry,control2019
BE,88
BG,89
CZ,84
DK,86
D-W,95
DE,94
D-E,91
EE,82
IE,81
EL,79
ES,87
FR,86
HR,77
IT,83
CY,69
LV,86
LT,78
LU,83
HU,73
MT,68
NL,91
AT,86
PL,74
PT,73
RO,89
SI,80
SK,79
FI,84
SE,86
