,isocntry,concern2015
0,AT,61.0
1,BE,74.0
2,BG,76.0
3,CY,76.0
4,CZ,76.0
5,DE,68.0
6,DK,57.0
7,EE,38.0
8,EL,72.0
9,ES,66.0
10,FI,61.0
11,FR,67.0
12,HR,70.0
13,HU,56.0
14,IE,79.0
15,IT,68.0
16,LT,56.0
17,LU,73.0
18,LV,58.0
19,MT,74.0
20,NL,47.0
21,PL,72.0
22,PT,79.0
23,RO,56.0
24,SE,41.0
25,SI,55.0
26,SK,68.0
